OBJECTNAME;LON;LAT;RB;DTF;COV;REGION;POC;POCLON;POCLAT
857a6b93fffffff;34.99686;-0.99864;11149.2;43.82184201;2G;857a6b93fffffff;857a6b8bfffffff;35.00471;-0.72155
857a6b97fffffff;34.83362;-0.99064;7172.7;36.20759553;2G;857a6b97fffffff;857a6b87fffffff;34.75603;-0.84796
857a6b9bfffffff;35.08233;-0.86403;6595.5;27.03806423;2G;857a6b9bfffffff;857a6bd7fffffff;35.16768;-0.7296
857a6ba3fffffff;34.5153;-0.69732;3504.3;28.648489440000002;2G;857a6ba3fffffff;857a6bbbfffffff;34.67852;-0.7054
857a6ba7fffffff;34.35201;-0.68922;14978.1;44.29592337;2G;857a6ba7fffffff;857a697bfffffff;34.3434;-0.96656
857a6babfffffff;34.60107;-0.56296;4775.7;22.33986617;2G;857a6babfffffff;857a6bbbfffffff;34.67852;-0.7054
857a6bb7fffffff;34.42941;-0.83185;10216.5;26.72042958;2G;857a6bb7fffffff;857a697bfffffff;34.3434;-0.96656
857a6bdbfffffff;35.41564;-0.60343;7177.5;21.152338609999997;2G;857a6bdbfffffff;857a6bd3fffffff;35.33055;-0.73765
857a6c47fffffff;36.11079;-2.16646;673.2;84.45490545999999;2G;857a6c47fffffff;857a6e8bfffffff;36.69053;-1.77518
857a6c4bfffffff;36.35876;-2.03836;776.4;53.43901176;2G;857a6c4bfffffff;857a6e8bfffffff;36.69053;-1.77518
857a6c4ffffffff;36.19567;-2.03076;1404;70.08232713000001;2G;857a6c4ffffffff;857a6e8bfffffff;36.69053;-1.77518
857a6c5bfffffff;36.43717;-2.18157;1217.4;55.169008950000006;2G;857a6c5bfffffff;857a6e9bfffffff;36.76893;-1.91806
857a6c63fffffff;35.86916;-2.01549;1349.7;104.4744322;2G;857a6c63fffffff;857a685bfffffff;35.88969;-1.18101
857a6c6ffffffff;35.79095;-1.87221;2296.2;88.96827525;2G;857a6c6ffffffff;857a685bfffffff;35.88969;-1.18101
857a6c7bfffffff;36.032470000000004;-2.02314;911.7;87.35322878000001;2G;857a6c7bfffffff;857a6e8bfffffff;36.69053;-1.77518
857a6e0ffffffff;36.45572;-1.34711;767.4;27.08020959;2G;857a6e0ffffffff;857a6e0bfffffff;36.61818;-1.35489
857a6e13fffffff;36.6122;-1.6324;1332.9;21.0026193;2G;857a6e13fffffff;857a6e1bfffffff;36.69642;-1.49744
857a6e17fffffff;36.44955;-1.6247;902.1;33.55487583;2G;857a6e17fffffff;857a6e03fffffff;36.53392;-1.4897
857a6e23fffffff;36.13048;-1.33149;1087.8;41.47466878;2G;857a6e23fffffff;857a685bfffffff;35.88969;-1.18101
857a6e27fffffff;35.9677;-1.32366;800.4;30.26361613;2G;857a6e27fffffff;857a685bfffffff;35.88969;-1.18101
857a6e2bfffffff;36.21505;-1.19676;2430.9;41.67751974;2G;857a6e2bfffffff;857a6a97fffffff;35.97443;-1.0464
857a6e2ffffffff;36.05242;-1.18889;1084.2;24.84948724;2G;857a6e2ffffffff;857a6a97fffffff;35.97443;-1.0464
857a6e33fffffff;36.2086;-1.47419;1186.5;53.056696349999996;2G;857a6e33fffffff;857a6e03fffffff;36.53392;-1.4897
857a6e37fffffff;36.04578;-1.4664;1630.5;48.237653279999996;2G;857a6e37fffffff;857a685bfffffff;35.88969;-1.18101
857a6e3bfffffff;36.29315;-1.33931;743.1;44.676276879999996;2G;857a6e3bfffffff;857a6e03fffffff;36.53392;-1.4897
